Player_number,Age,Years,Value,Ave_Salary,Max Value,Year,Year_1,Year _2,VORP_0
335,26.8,1,1836090,1836090,1836090,2022 ,2021 ,2020 ,0.3
336,23.2,5,82500000,16500000,82500000,2022 ,2021 ,2020 ,-0.1
337,26.9,2,4546582,2273291,4546582,2022 ,2021 ,2020 ,0.3
338,25.2,1,1836090,1836090,1836090,2022 ,2021 ,2020 ,0.2
339,24.4,2,19418049,9709025,19418049,2022 ,2021 ,2020 ,0.9
340,23.2,3,37500000,12500000,37500000,2022 ,2021 ,2020 ,0.1
341,25.4,1,1637966,1637966,1637966,2022 ,2021 ,2020 ,1.2
342,31.8,1,2628597,2628597,2628597,2022 ,2021 ,2020 ,0
343,23.8,1,1637966,1637966,1637966,2022 ,2021 ,2020 ,0.4
344,31.1,2,7000000,3500000,7000000,2022 ,2021 ,2020 ,0.2
345,24.2,4,60000000,15000000,60000000,2022 ,2021 ,2020 ,-0.3
346,24.1,2,20600000,10300000,20600000,2022 ,2021 ,2020 ,0.5
347,28.6,2,5223516,2611758,5223516,2022 ,2021 ,2020 ,0.6
348,22.7,1,1902133,1902133,1902133,2022 ,2021 ,2020 ,0.7
349,28.2,1,1902133,1902133,1902133,2022 ,2021 ,2020 ,-0.1
350,23.2,1,1836090,1836090,1836090,2022 ,2021 ,2020 ,-0.5
351,24.8,2,3833328,1916664,3833328,2022 ,2021 ,2020 ,1.5
352,33.5,2,22554168,11277084,22554168,2022 ,2021 ,2020 ,-0.1
353,23.2,2,17250000,8625000,17250000,2022 ,2021 ,2020 ,-0.8
354,29.1,2,12300000,6150000,12300000,2022 ,2021 ,2020 ,0.8
355,37.2,3,33043500,11014500,33043500,2022 ,2021 ,2020 ,1.7
356,33.8,2,13281950,6640975,14489402,2022 ,2021 ,2020 ,0.4
357,30.1,1,2463490,2463490,2463490,2022 ,2021 ,2020 ,0.8
358,24.8,1,1902133,1902133,1902133,2022 ,2021 ,2020 ,0
359,31.7,3,18439026,6146342,18439026,2022 ,2021 ,2020 ,1
360,23,1,1836090,1836090,1836090,2022 ,2021 ,2020 ,-0.2
361,34.2,1,2905851,2905851,2905851,2022 ,2021 ,2020 ,-0.7
362,31,1,2298385,2298385,2298385,2022 ,2021 ,2020 ,0.7
363,28.4,1,2133278,2133278,2133278,2022 ,2021 ,2020 ,-0.2
364,24.6,3,5658206,1886069,5658206,2022 ,2021 ,2020 ,-0.1
365,32.8,1,2905851,2905851,2905851,2022 ,2021 ,2020 ,0
366,21.2,1,1637966,1637966,1637966,2022 ,2021 ,2020 ,0.7
367,25.1,1,1836090,1836090,1836090,2022 ,2021 ,2020 ,0.6
368,28.8,1,2628597,2628597,2628597,2022 ,2021 ,2020 ,0.1
369,37,1,2905851,2905851,2905851,2022 ,2021 ,2020 ,0
370,26.7,1,1968175,1968175,1968175,2022 ,2021 ,2020 ,-0.2
371,24.9,1,2133278,2133278,2133278,2022 ,2021 ,2020 ,0.8
372,22.9,1,1968185,1968185,1968185,2022 ,2021 ,2020 ,0.1
373,25,1,1902133,1902133,1902133,2022 ,2021 ,2020 ,-0.1
374,26.1,2,29000000,14500000,30000000,2022 ,2021 ,2020 ,0.1
375,42.2,1,2905851,2905851,2905851,2022 ,2021 ,2020 ,0.5
376,30.2,2,18200000,9100000,18200000,2022 ,2021 ,2020 ,0
377,25.2,3,6815324,2271775,6815324,2022 ,2021 ,2020 ,0
378,35.7,1,2905851,2905851,2905851,2022 ,2021 ,2020 ,0.5
379,27.5,1,1637966,1637966,1637966,2022 ,2021 ,2020 ,-0.2
380,27.8,1,1968175,1968175,1968175,2022 ,2021 ,2020 ,-0.1
381,27.2,5,215159700,43031940,215159700,2022 ,2021 ,2020 ,5.4
