,PLAYER,,Real Salary,Year
391,Bruno Fernando,"$1,782,621","$1,944,122",2022
391,Kevin Porter,"$1,782,621","$1,944,122",2022
391,Vlatko Cancar,"$1,782,621","$1,944,122",2022
391,Dean Wade,"$1,782,621","$1,944,122",2022
391,Cody Martin,"$1,782,621","$1,944,122",2022
391,Jalen McDaniels,"$1,782,621","$1,944,122",2022
391,Nicolas Claxton,"$1,782,621","$1,944,122",2022
406,Yuta Watanabe,"$1,762,796","$1,922,501",2022
406,Chimezie Metu,"$1,762,796","$1,922,501",2022
408,Armoni Brooks,"$1,739,065","$1,896,619",2022
409,Isaac Bonga,"$1,729,217","$1,885,879",2022
409,Sviatoslav Mykhailiuk,"$1,729,217","$1,885,879",2022
409,Keita Bates-Diop,"$1,729,217","$1,885,879",2022
409,Moritz Wagner,"$1,729,217","$1,885,879",2022
409,Thanasis Antetokounmpo,"$1,729,217","$1,885,879",2022
409,Isaiah Hartenstein,"$1,729,217","$1,885,879",2022
415,Oshae Brissett,"$1,701,593","$1,855,753",2022
415,Juan Toscano-Anderson,"$1,701,593","$1,855,753",2022
417,Herb Jones,"$1,700,000","$1,854,015",2022
418,Gabriel Deck,"$1,690,507","$1,843,662",2022
419,Gabe Vincent,"$1,669,178","$1,820,401",2022
419,Max Strus,"$1,669,178","$1,820,401",2022
419,Gary Payton II,"$1,669,178","$1,820,401",2022
419,Javonte Green,"$1,669,178","$1,820,401",2022
419,Matt Thomas,"$1,669,178","$1,820,401",2022
424,Robert Woodard,"$1,619,015","$1,765,693",2022
425,Lance Stephenson,"$1,614,825","$1,761,124",2022
426,Daniel Oturu,"$1,603,559","$1,748,837",2022
426,Deividas Sirvydis,"$1,603,559","$1,748,837",2022
428,Kevin Pangos,"$1,569,178","$1,711,341",2022
429,Bismack Biyombo,"$1,518,213","$1,655,759",2022
430,Vernon Carey,"$1,517,981","$1,655,506",2022
430,Anthony Gill,"$1,517,981","$1,655,506",2022
430,Tre Jones,"$1,517,981","$1,655,506",2022
430,Jahmi'us Ramsey,"$1,517,981","$1,655,506",2022
430,Elijah Hughes,"$1,517,981","$1,655,506",2022
430,CJ Elleby,"$1,517,981","$1,655,506",2022
430,Isaiah Joe,"$1,517,981","$1,655,506",2022
430,Paul Reed,"$1,517,981","$1,655,506",2022
430,Naji Marshall,"$1,517,981","$1,655,506",2022
430,Jordan Nwora,"$1,517,981","$1,655,506",2022
430,Xavier Tillman,"$1,517,981","$1,655,506",2022
430,Sam Merrill,"$1,517,981","$1,655,506",2022
430,Jae'Sean Tate,"$1,517,981","$1,655,506",2022
430,KJ Martin,"$1,517,981","$1,655,506",2022
430,Lamar Stevens,"$1,517,981","$1,655,506",2022
430,Nick Richards,"$1,517,981","$1,655,506",2022
446,Isaiah Todd,"$1,500,000","$1,635,896",2022
447,Omer Yurtseven,"$1,489,065","$1,623,970",2022
447,Saben Lee,"$1,489,065","$1,623,970",2022
449,JR Smith,"$1,456,667","$1,588,637",2022
450,Stanley Johnson,"$1,368,998","$1,493,025",2022
451,Duane Washington Jr,"$1,346,676","$1,468,681",2022
452,Aaron Wiggins,"$1,305,761","$1,424,059",2022
453,Marquese Chriss,"$1,292,900","$1,410,033",2022
454,JT Thor,"$1,250,000","$1,363,246",2022
455,DeMarre Carroll,"$1,242,340","$1,354,892",2022
456,Jabari Parker,"$1,168,286","$1,274,129",2022
457,Alfonzo McKinnie,"$1,090,007","$1,188,758",2022
458,Zhaire Smith,"$1,068,200","$1,164,976",2022
459,Jason Preston,"$1,062,303","$1,158,545",2022
460,Isaiah Livers,"$1,057,260","$1,153,045",2022
461,Denzel Valentine,"$1,005,633","$1,096,740",2022
462,Alize Johnson,"$1,003,740","$1,094,675",2022
463,Kyle Singler,"$999,200","$1,089,725",2022
464,Kelan Martin,"$993,760","$1,083,792",2022
465,Miye Oni,"$946,261","$1,031,989",2022
466,Jared Butler,"$925,258","$1,009,084",2022
466,Dalano Banton,"$925,258","$1,009,084",2022
466,Jock Landale,"$925,258","$1,009,084",2022
466,Greg Brown,"$925,258","$1,009,084",2022
466,Charles Bassey,"$925,258","$1,009,084",2022
466,Vit Krejci,"$925,258","$1,009,084",2022
466,Miles McBride,"$925,258","$1,009,084",2022
466,Austin Reaves,"$925,258","$1,009,084",2022
466,BJ Boston,"$925,258","$1,009,084",2022
466,Luka Garza,"$925,258","$1,009,084",2022
466,Marko Simonovic,"$925,258","$1,009,084",2022
466,Ayo Dosunmu,"$925,258","$1,009,084",2022
478,Daishen Nix,"$923,078","$1,006,706",2022
479,Isaiah Thomas,"$910,926","$993,452",2022
480,Terry Taylor,"$895,125","$976,221",2022
481,Mamadi Diakite,"$869,078","$947,814",2022
482,Caleb Martin,"$844,011","$920,476",2022
483,Brad Wanamaker,"$814,918","$888,747",2022
484,Luke Kornet,"$812,364","$885,961",2022
485,Wayne Selden,"$812,363","$885,961",2022
486,Gary Clark,"$811,213","$884,706",2022
487,Ryan Arcidiacono,"$774,727","$844,915",2022
